image_id,model,min_ssim_value,min_row,min_col,total_rows,total_cols,distance_to_boundary,normalized_distance,is_boundary
00000090_004,model1_TAA_standard,0.0967,35,1,128,128,1,0.015625,True
00000090_009,model1_TAA_standard,-0.3679,0,11,128,128,0,0.0,True
00000090_010,model1_TAA_standard,-0.1002,0,99,128,128,0,0.0,True
00000091_002,model1_TAA_standard,-0.333,0,7,128,128,0,0.0,True
00000091_005,model1_TAA_standard,0.0526,0,61,128,128,0,0.0,True
00000091_006,model1_TAA_standard,-0.1617,0,43,128,128,0,0.0,True
00000092_001,model1_TAA_standard,0.097,127,1,128,128,0,0.0,True
00000093_001,model1_TAA_standard,0.077,0,55,128,128,0,0.0,True
00000093_002,model1_TAA_standard,-0.0646,0,5,128,128,0,0.0,True
00000096_004,model1_TAA_standard,-0.0319,48,0,128,128,0,0.0,True
00000099_000,model1_TAA_standard,0.0917,58,0,128,128,0,0.0,True
00000099_002,model1_TAA_standard,0.0929,51,127,128,128,0,0.0,True
00000099_004,model1_TAA_standard,0.0882,23,127,128,128,0,0.0,True
00000099_006,model1_TAA_standard,0.1097,41,0,128,128,0,0.0,True
00000099_012,model1_TAA_standard,-0.0302,76,127,128,128,0,0.0,True
00000099_013,model1_TAA_standard,0.034,39,127,128,128,0,0.0,True
00000103_002,model1_TAA_standard,0.0443,0,74,128,128,0,0.0,True
00000103_003,model1_TAA_standard,0.0931,48,0,128,128,0,0.0,True
00001339_000,model1_TAA_standard,-0.141,0,5,128,128,0,0.0,True
00001340_000,model1_TAA_standard,0.0905,117,127,128,128,0,0.0,True
00001346_000,model1_TAA_standard,-0.0149,0,1,128,128,0,0.0,True
00001347_000,model1_TAA_standard,-0.2217,0,92,128,128,0,0.0,True
00001347_001,model1_TAA_standard,0.041,20,127,128,128,0,0.0,True
00001347_002,model1_TAA_standard,0.0129,40,127,128,128,0,0.0,True
00001353_000,model1_TAA_standard,0.0847,0,70,128,128,0,0.0,True
00001356_000,model1_TAA_standard,-0.2412,0,28,128,128,0,0.0,True
00001358_000,model1_TAA_standard,0.0978,36,127,128,128,0,0.0,True
00001359_000,model1_TAA_standard,0.0432,0,0,128,128,0,0.0,True
00001362_000,model1_TAA_standard,0.1041,24,127,128,128,0,0.0,True
00001362_003,model1_TAA_standard,0.0961,93,0,128,128,0,0.0,True
00001362_017,model1_TAA_standard,0.102,108,127,128,128,0,0.0,True
00001364_001,model1_TAA_standard,-0.0514,1,94,128,128,1,0.015625,True
00001364_004,model1_TAA_standard,0.0161,1,23,128,128,1,0.015625,True
00001364_005,model1_TAA_standard,0.1122,33,0,128,128,0,0.0,True
00001364_006,model1_TAA_standard,0.1051,43,127,128,128,0,0.0,True
