image_id,model,original_path,upscaled_path,original_width,original_height,original_format,upscaled_width,upscaled_height,upscaled_format,ssim,ms_ssim,psnr,lpips,sharpness,sharpness_diff_pct,contrast,contrast_diff_pct,entropy,noise,edge_density,edge_diff_pct,artifact_block,artifact_ringing,artifact_total,delta_e,high_freq_ratio,texture_complexity,local_quality_mean,local_quality_std,local_quality_min,histogram_corr,lab_L_mean,total_score,detection_count,detected_patterns,confidence_level
00000008_001,model1_TAA_standard,E:\Analysis\images_base\00000008_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000008_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9762,0.9926,40.57,0.1244,0.8,-7.3,52.38,-1.3,7.355,2.38,0.26,28.9,256.79,64.49,321.28000000000003,0.94,0.3657365024670699,4.279279550537467,0.9745,0.0226,0.56,0.9814,160.8060245513916,54.3,0,None,Normal
00000008_002,model1_TAA_standard,E:\Analysis\images_base\00000008_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000008_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9637,0.993,35.34,0.1308,2.03,-74.4,75.2,-1.0,7.2,2.23,0.83,17.9,231.08,78.37,309.45000000000005,0.98,0.2787364867194296,5.544339492917061,0.961,0.0504,0.3959,0.8363,141.52898597717285,59.3,1,単独:Low HighFreq,Low
00000009_000,model1_TAA_standard,E:\Analysis\images_base\00000009_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000009_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9416,0.9904,38.59,0.2371,0.5,-57.8,68.58,-0.0,7.794,2.33,0.19,101.6,277.33,46.02,323.35,1.02,0.3405569865257571,4.701558966189623,0.9394,0.0603,0.2857,0.4171,131.0315008163452,58.0,0,None,Normal
00000010_000,model1_TAA_standard,E:\Analysis\images_base\00000010_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000010_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.8931,0.9888,34.25,0.22,0.74,-43.7,77.55,0.7,7.187,2.53,0.4,112.0,296.29,54.0,350.29,1.13,0.3151726674786094,5.570331998169422,0.8911,0.1439,0.0132,0.2485,107.59717750549316,59.4,10,"P6:品質ばらつき大, P8:Contrast異常×Hist相関低, P9:MS-SSIM低×SSIM低, 単独:Low SSIM, 単独:Low MS-SSIM, 単独:Low PSNR, 単独:Low LocalQuality, 単独:Low HistCorr, 単独:High DeltaE, 単独:High LocalQualityStd",High
00000011_000,model1_TAA_standard,E:\Analysis\images_base\00000011_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9335,0.989,39.37,0.3232,0.51,-62.7,65.16,-0.7,7.799,1.93,0.12,19.9,255.01,47.63,302.64,1.04,0.3446354724103053,4.43412029184401,0.9336,0.0335,0.646,0.9671,128.04954051971436,57.2,3,"P9:MS-SSIM低×SSIM低, 単独:Low MS-SSIM, 単独:High LPIPS",Medium
00000011_001,model1_TAA_standard,E:\Analysis\images_base\00000011_001.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9799,0.9936,35.7,0.112,0.77,-83.2,61.64,-0.1,7.476,2.11,0.28,-45.6,218.55,63.9,282.45,1.02,0.275713831164537,4.124395586550236,0.9674,0.0942,0.1059,0.9033,178.4368896484375,55.8,3,"P1:SSIM高×PSNR低, P6:品質ばらつき大, 単独:Low HighFreq",Medium
00000011_002,model1_TAA_standard,E:\Analysis\images_base\00000011_002.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9401,0.9905,39.14,0.2969,0.39,-70.4,65.34,-0.6,7.773,2.16,0.11,11.9,262.75,43.68,306.43,1.03,0.3277127043545349,4.962257277220488,0.9385,0.0495,0.3343,0.4846,129.18725395202637,57.9,1,単独:High LPIPS,Low
00000011_003,model1_TAA_standard,E:\Analysis\images_base\00000011_003.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_003_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9816,0.9933,35.35,0.1038,1.28,-75.3,66.03,0.0,7.569,2.28,0.46,-33.1,262.71,70.33,333.04,1.04,0.3208631664784895,4.595910385251045,0.9685,0.0979,0.0892,0.8922,171.0895118713379,57.1,2,"P1:SSIM高×PSNR低, P6:品質ばらつき大",Low
00000011_004,model1_TAA_standard,E:\Analysis\images_base\00000011_004.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_004_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9734,0.9932,36.73,0.1201,1.4,-68.1,64.12,-0.1,7.733,2.4,0.44,-13.1,272.21,59.7,331.91,1.01,0.3168461311120797,5.133300824090838,0.9645,0.0829,0.0977,0.8977,164.52142238616943,57.9,0,None,Normal
00000011_005,model1_TAA_standard,E:\Analysis\images_base\00000011_005.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_005_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.971,0.9935,36.9,0.1508,0.57,-84.3,62.68,-0.4,7.626,1.84,0.22,-34.5,187.79,70.68,258.47,0.85,0.3472751185415289,3.20612617302686,0.9593,0.0969,0.1207,0.6111,123.31401824951172,54.9,1,P6:品質ばらつき大,Low
00000011_006,model1_TAA_standard,E:\Analysis\images_base\00000011_006.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_006_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.935,0.9918,39.35,0.27,0.51,-57.3,69.47,-0.0,7.685,2.23,0.16,38.1,292.55,48.92,341.47,1.0,0.3286330872107261,5.279857059940696,0.9342,0.0724,0.449,0.1827,124.03027820587158,58.7,1,単独:Low HistCorr,Low
00000011_007,model1_TAA_standard,E:\Analysis\images_base\00000011_007.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_007_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9415,0.9911,39.38,0.29,0.39,-67.9,65.39,-0.3,7.769,2.26,0.08,20.8,297.34,47.4,344.73999999999995,1.03,0.3003868006757842,5.576807800680399,0.9415,0.0409,0.4984,0.3545,124.63389015197754,58.6,4,"単独:Low EdgeDensity, 単独:Low HighFreq, 単独:Low HistCorr, 単独:High LPIPS",Medium
00000011_008,model1_TAA_standard,E:\Analysis\images_base\00000011_008.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000011_008_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9446,0.9912,37.72,0.2793,0.46,-61.9,67.32,-0.3,7.846,2.21,0.2,123.3,282.4,50.78,333.17999999999995,1.04,0.3133486894604503,5.331903342157602,0.9445,0.0399,0.2439,0.5255,127.22562980651855,58.8,1,単独:High LPIPS,Low
00000012_000,model1_TAA_standard,E:\Analysis\images_base\00000012_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000012_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9406,0.9903,39.36,0.2447,0.5,-68.0,73.09,-0.4,7.642,2.28,0.1,-11.4,290.53,50.97,341.5,1.01,0.3368074263687968,4.728493820875883,0.941,0.0319,0.3675,0.9342,126.96347045898438,58.3,0,None,Normal
00000013_000,model1_TAA_standard,E:\Analysis\images_base\00000013_000.png,E:\Analysis\TTA_1024\upscayl_png_upscayl-standard-4x_2x\00000013_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9677,0.9912,41.07,0.1763,0.48,-26.0,29.24,-1.2,6.703,2.34,0.11,223.8,220.74,37.07,257.81,0.95,0.4136880898757472,3.043689401820302,0.9665,0.0197,0.514,0.9937,124.0492753982544,48.2,3,"P7:Entropy低×高周波高, 単独:Low Contrast, 単独:Low Entropy",Medium
