,ssim,ssim,psnr,psnr,lpips,lpips,noise,noise,artifact_total,artifact_total,sharpness,sharpness,edge_density,edge_density
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,,,
model1_TAA_standard,0.9571,0.0193,37.3768,2.0122,0.1915,0.0624,2.2622,0.3666,306.9744,63.4515,1.0629,0.7848,0.3352,0.25
