pattern_name,detection_count,detection_rate_%
P1,0,0.0
P2,1,25.0
P3,0,0.0
P4,1,25.0
P5,0,0.0
P6,1,25.0
P7,0,0.0
P8,1,25.0
P9,0,0.0
