image_id,model,original_path,upscaled_path,original_width,original_height,original_format,upscaled_width,upscaled_height,upscaled_format,ssim,ms_ssim,psnr,lpips,sharpness,sharpness_diff_pct,contrast,contrast_diff_pct,entropy,noise,edge_density,edge_diff_pct,artifact_block,artifact_ringing,artifact_total,delta_e,high_freq_ratio,texture_complexity,local_quality_mean,local_quality_std,local_quality_min,histogram_corr,lab_L_mean,total_score,detection_count,detected_patterns,confidence_level
00000001_000,model2555,C:\Users\a9515\Desktop\test\20251110\base\00000001_000.png,C:\Users\a9515\Desktop\test\20251110\TAA\upscayl_png_digital-art-4x_2x\00000001_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9226,0.9803,35.06,0.3452,0.79,-40.0,68.28,1.3,7.826,2.52,0.36,350.6,288.41,45.67,334.08000000000004,1.34,0.3517279878428995,5.247705560177565,0.9118,0.0947,0.1556,0.7783,133.20465278625488,58.8,3,"単独:SSIM低, 単独:LocalQuality低, 単独:LPIPS高",Medium
00000001_001,model2555,C:\Users\a9515\Desktop\test\20251110\base\00000001_001.png,C:\Users\a9515\Desktop\test\20251110\TAA\upscayl_png_digital-art-4x_2x\00000001_001_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9246,0.9796,33.2,0.3246,1.07,-23.7,66.51,1.8,7.811,2.65,0.52,194.3,299.01,52.89,351.9,1.4,0.3511219283354627,5.546140121296048,0.9127,0.1025,0.0376,0.4339,131.0265188217163,58.9,4,"P2:シャープ高×Noise高, P4:Artifacts高, 単独:Noise高, 単独:Artifacts高",Medium
00000001_002,model2555,C:\Users\a9515\Desktop\test\20251110\base\00000001_002.png,C:\Users\a9515\Desktop\test\20251110\TAA\upscayl_png_digital-art-4x_2x\00000001_002_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.923,0.9778,31.95,0.1803,0.95,-79.8,71.31,4.3,7.245,1.93,0.36,-27.2,195.04,58.63,253.67,1.59,0.3315045814296991,3.6201016092672944,0.9182,0.1819,0.0723,0.0921,173.21531677246094,56.1,9,"P6:品質ばらつき大, P8:Contrast異常×Hist相関低, 単独:PSNR低, 単独:Entropy低, 単独:HighFreq低, 単独:Texture低, 単独:HistCorr低, 単独:DeltaE高, 単独:LocalQualityStd高",High
00000002_000,model2555,C:\Users\a9515\Desktop\test\20251110\base\00000002_000.png,C:\Users\a9515\Desktop\test\20251110\TAA\upscayl_png_digital-art-4x_2x\00000002_000_LR_bicubic_x0.50.png,1024,1024,png,1024,1024,png,0.9585,0.9758,33.37,0.227,0.56,-4.0,50.09,4.6,7.272,2.29,0.21,238.8,236.56,46.25,282.81,1.45,0.3603052875116551,3.9986764825880527,0.9509,0.0504,0.3165,0.5519,187.3332748413086,53.5,4,"単独:MS-SSIM低, 単独:Sharpness低, 単独:Contrast低, 単独:EdgeDensity低",Medium
